,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
0,0,GGC,"∃ x ( Cube ( x ) ∧ Large ( x ) ∧ ∀ y ( ( Small ( y ) ∧ Cube ( y ) ) → BackOf ( y , x ) ) )","there is an element x such that x is a cube , x is large and for all y , if y is small and y is a cube , then y is in back of x",Yes,2,2,
1,1,GGC,"FrontOf ( e , d ) ∨ ( Tet ( e ) ∧ Large ( e ) )",at least one of these holds : \n\t• e is in front of d \n\t• e is a tetrahedron and e is large,Yes,5,5,
2,2,GGC,"∀ x ∀ y ∀ z ( ( Small ( x ) ∧ Large ( y ) ) → FrontOf ( x , y ) )","for all x , for all y , for all z , if x is small and y is large , then x is in front of y",Yes,5,5,
3,3,GGC,"∃ x ∃ y ( Large ( x ) ∧ Cube ( x ) ∧ Small ( y ) ∧ Cube ( y ) ∧ FrontOf ( x , y ) )","there is an element x such that there is an element y such that x is large , x is a cube , y is small , y is a cube and x is in front of y",Yes,5,2,
4,4,GGC,"¬ ∃ x ∀ y ( Dodec ( x ) ∧ ¬ RightOf ( y , x ) ∧ ¬ Small ( x ) )","it is not the case that there is an element x such that for all y , x is a dodecahedron , y is not to the right of x and x is not small",Yes,2,2,
5,5,GGC,"∀ y ( Cube ( y ) → ( ¬ SameCol ( y , a ) ∧ ¬ SameCol ( b , y ) ) )","for all cubes y , y is not in the same column as a and b is not in the same column as y",Yes,2,4,
6,6,GGC,"∀ x ( ∃ y ( Cube ( y ) ∧ Large ( y ) ∧ Large ( y ) ∧ RightOf ( x , y ) ) → Small ( x ) )","for all x , if there is an element y such that y is a cube , y is large , y is large and x is to the right of y , then x is small",Yes,4,5,
7,7,GGC,"∀ x ( ( Dodec ( x ) ∧ ∃ y ( Cube ( y ) ∧ SameSize ( x , y ) ) ) ∨ ¬ Dodec ( x ) )","for all x , at least one of these holds : \n\t• x is a dodecahedron and x is of the same size as some cube \n\t• x is not a dodecahedron",Yes,4,5,
8,8,GGC,"∀ x ∀ y ∀ z ( ( BackOf ( x , y ) ∧ Cube ( y ) ∧ FrontOf ( x , z ) ∧ Cube ( z ) ) → ¬ Large ( x ) )","for all x , for all y , for all z , if x is in back of y , y is a cube , x is in front of z and z is a cube , then x is not large",Yes,5,5,
9,9,GGC,"∀ x ( Dodec ( x ) → ∀ y ( ( Cube ( y ) ∧ FrontOf ( x , y ) ) → Larger ( x , y ) ) )","for all dodecahedrons x , for all y , if y is a cube and x is in front of y , then x is larger than y",Yes,4,5,
10,10,RG,∀ x ( ∃ y Cube ( a ) ∧ Small ( a ) ),"for all x , there is an element y such that a is a cube and a is small",No,3,3,
11,11,RG,"Dodec ( a ) ∧ ( ( Person ( b ) → Cube ( c ) ) → ( Medium ( a ) ∨ Adjoins ( d , d ) ) )","all these hold : \n\t• a is a dodecahedron \n\t• if if b is a person , then c is a cube , then a is medium or d is adjacent to itself",Yes,2,2,
12,12,RG,∃ x ( Cube ( x ) ∧ Prime ( a ) ) → Student ( b ),"if there is a cube x such that a is a prime , then b is a student",No,3,3,
13,13,RG,"Large ( a ) ∧ ( ( RightOf ( b , b ) ∨ Large ( b ) ) ∧ ∀ x Medium ( b ) )","all these hold : \n\t• a is large , b is to the right of itself or b is large \n\t• for all x , b is medium",Yes,5,5,
14,14,RG,"¬ ∀ x Large ( a ) → ( ( SameCol ( a , b ) ∧ Smaller ( b , b ) ) → ∀ x Pet ( a ) )","if it is not the case that for all x , a is large , then if a is in the same column as b and b is smaller than itself , then for all x , a is a pet",Yes,1,1,
15,15,RG,"∀ x ∀ x ( BackOf ( a , x ) → Dodec ( x ) )","for all x , for all x , if a is in back of x , then x is a dodecahedron",No,3,3,
16,16,RG,"∀ x ( Even ( x ) ∨ Prime ( x ) ) ∧ SameShape ( a , b )","for all x , x is even or x is a prime and a is of the same shape as b",Yes,5,5,
17,17,RG,¬ ∀ x ( Dodec ( x ) ∧ Medium ( x ) ),"it is not the case that for all x , x is a dodecahedron and x is medium",Yes,5,5,
18,18,RG,∃ x ¬ ( Medium ( a ) ∧ Student ( b ) ),there is an element x such that it is not the case that a is medium and b is a student,Yes,5,5,
19,19,RG,"∀ x ( Even ( a ) ∨ Larger ( b , c ) ) ∨ ( BackOf ( a , c ) ∧ SameSize ( c , c ) )","at least one of these holds : \n\t• for all x , a is even or b is larger than c \n\t• a is in back of c and c is of the same size as itself",Yes,4,4,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,Yes,3,3,
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",Yes,3,3,
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",Yes,3,3,
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,3,3,
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,No,3,2,
